mine_name,period_start,period_end,reference_rom_tonnes,actual_rom_tonnes,reference_type,calibration_quality,source_note,source_url
Balaghat,2022-04-01,2023-03-31,349755.0,328975.0,OFFICIAL_ANNUAL_PLAN,OFFICIAL_SAME_PERIOD,"IBM MCDR 2022-23: proposed ROM 349,755 t; actual ROM 328,975 t.",https://ibm.gov.in/writereaddata/files/170644456565b647150fd56mcdr_balaghat_182.3_Hect.pdf
Ukwa,2023-04-01,2024-03-31,113470.0,113946.0,OFFICIAL_ANNUAL_PLAN,OFFICIAL_SAME_PERIOD,"IBM MCDR FY2023-24: proposed ROM 113,470 t; actual ROM 113,946 t.",https://ibm.gov.in/writereaddata/files/1730980127672ca91f29bd1mcdr_Ukwa_199.067_hect..pdf
Tirodi,2022-04-01,2023-03-31,109000.0,108831.0,OFFICIAL_ANNUAL_PLAN,OFFICIAL_SAME_PERIOD,"IBM MCDR FY2022-23: proposed ROM 109,000 t; actual ROM 108,831 t.",https://ibm.gov.in/writereaddata/files/173875372767a346bf92303mcdr_Tirodi_254.593_hect..pdf
Gumgaon,2020-04-01,2021-03-31,53000.0,38939.59,OFFICIAL_ANNUAL_PLAN,OFFICIAL_SAME_PERIOD,"IBM MCDR FY2020-21: proposed ROM 53,000 t; actual ROM 38,939.590 t.",https://ibm.gov.in/writereaddata/files/05202022152703Gumgaon_35_MCDR_MKK.pdf
Kandri,2020-04-01,2021-03-31,63000.0,52716.0,OFFICIAL_ANNUAL_PLAN,OFFICIAL_SAME_PERIOD,"IBM MCDR FY2020-21: underground ROM proposal 63,000 t; actual 52,716 t.",
Chikla,2022-04-01,2023-03-31,200000.0,179991.0,OFFICIAL_ANNUAL_PLAN,OFFICIAL_SAME_PERIOD,"IBM MCDR FY2022-23: proposed ROM 200,000 t; actual ROM 179,991 t.",https://ibm.gov.in/writereaddata/files/17180860926667e9cccd878mcdr_rep_Chikla_28.6.2023_OPG.pdf
Dongri Buzurg,2009-04-01,2010-03-31,350000.0,282758.0,HISTORICAL_ROM_CAPACITY_PROXY,PROXY_NOT_SAME_PERIOD_PLAN,"MOIL RHP material reports FY2010 production 282,758 t and a then-current ROM capacity basis of ~350,000 t; use only as a demo proxy until an official same-period MCDR pair is supplied.",https://idbicapital.com/pdf/MOILDRHP.pdf
